"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"253","wv.549",0.39,0.11,2.23,1.07,0.31,0.72,0.47,4.17,1.17,1.18
"254","wv.373",5.24,0.05,0.82,1.26,0.75,0.65,1.29,0.12,0.46,1.18
"255","wv.710",0.8,0.08,0.23,0.7,5.44,0.35,0.28,2.51,0.18,1.17
"256","wv.720",0.6,0.12,0.16,7.04,0.62,0.13,0.39,1.31,0.16,1.17
"257","wv.211",0.54,0.18,0.97,0.19,1.52,1.79,1.18,0,4.15,1.17
"258","wv.633",2.51,0.19,1.33,1.92,1.07,0.34,2.26,0.58,0.3,1.17
"259","wv.679",0.3,0.03,0,3.53,0.83,0.38,0.33,4.17,0.96,1.17
"260","wv.24",0.76,1.16,0.8,0.9,3.77,1.2,1.51,0.16,0.29,1.17
"261","wv.104",0.32,0.12,3.23,1,0.68,0.35,0.89,1.79,2.04,1.16
"262","wv.922",5.54,0,0.88,1.3,0.15,0.13,1.3,0.09,1.01,1.16
"263","wv.75",0.36,0.11,0.74,0.7,3.36,0.87,0.33,1.89,2.06,1.16
"264","wv.906",0.12,0,0,0.51,2.51,2.47,3.13,0.48,1.25,1.16
"265","wv.890",1.83,0.08,0.73,0.85,0.21,3.86,0.7,2.16,0,1.16
"266","wv.734",1.3,0.24,0.95,4.68,0.68,0.71,0.74,0.45,0.73,1.16
"267","wv.652",0.8,0.13,0.4,3.99,2.49,0.4,0.95,0.8,0.44,1.16
"268","wv.506",2.76,0.14,1.08,3.16,2.03,0.38,0.26,0.09,0.56,1.16
"269","wv.891",0.49,1.38,4.23,2.47,1.05,0.2,0.57,0,0,1.15
"270","wv.333",2.53,0.15,0,0.26,5.11,0.1,0.57,0.42,1.24,1.15
"271","wv.733",1.64,0.36,0.25,3.09,3.93,0.24,0.29,0.32,0.22,1.15
"272","wv.757",1.57,0.05,0.74,3.18,0.25,1.3,0.56,2.43,0.31,1.15
"273","wv.37",0.6,0.22,1.73,1.46,4.12,0.62,0.25,0.81,0.43,1.14
